message,severity,attributes,tags,timestamp
"2026-07-23T06:19:29.551Z [[34mdebug[39m] 📤 [PUBLISH_CYCLE] Publishing all screens to device {""service"":""mqtt-publisher-lite"",""deviceId"":""DEVICE-17""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""69394420-c732-4ebe-a5fd-54c2d5628ea7"",""replica"":""7fc15fda-5103-4647-b7c4-6251ceb0ef53""}",2026-07-23T06:19:32.628728256Z
"2026-07-23T06:19:29.614Z [[32minfo[39m] [STIM_GMB] Published {""service"":""mqtt-publisher-lite"",""deviceId"":""DEVICE-15"",""reviews"":7,""target"":100,""mode"":""synthetic"",""celebration"":""false"",""done"":false}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""69394420-c732-4ebe-a5fd-54c2d5628ea7"",""replica"":""7fc15fda-5103-4647-b7c4-6251ceb0ef53""}",2026-07-23T06:19:32.628732026Z
"2026-07-23T06:19:29.678Z [[32minfo[39m] [PROMOTION] Default canvas not published {""service"":""mqtt-publisher-lite"",""deviceId"":""DEVICE-17"",""topic"":""proof.mqtt/DEVICE-17/promotion"",""reason"":""unchanged""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""69394420-c732-4ebe-a5fd-54c2d5628ea7"",""replica"":""7fc15fda-5103-4647-b7c4-6251ceb0ef53""}",2026-07-23T06:19:32.628735026Z
"2026-07-23T06:19:29.778Z [[34mdebug[39m] [STIM_SKIP] StatsPublisher skipping stim device {""service"":""mqtt-publisher-lite"",""deviceId"":""DEVICE-19""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""69394420-c732-4ebe-a5fd-54c2d5628ea7"",""replica"":""7fc15fda-5103-4647-b7c4-6251ceb0ef53""}",2026-07-23T06:19:32.628738126Z
"2026-07-23T06:19:29.778Z [[34mdebug[39m] [STIM_SKIP] StatsPublisher skipping stim device {""service"":""mqtt-publisher-lite"",""deviceId"":""DEVICE-15""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""69394420-c732-4ebe-a5fd-54c2d5628ea7"",""replica"":""7fc15fda-5103-4647-b7c4-6251ceb0ef53""}",2026-07-23T06:19:32.628741226Z
"2026-07-23T06:19:30.956Z [[34mdebug[39m] Message received {""service"":""mqtt-publisher-lite"",""topic"":""proof.mqtt/DEVICE-13/active"",""size"":214,""retain"":false}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""69394420-c732-4ebe-a5fd-54c2d5628ea7"",""replica"":""7fc15fda-5103-4647-b7c4-6251ceb0ef53""}",2026-07-23T06:19:32.628744056Z
"2026-07-23T06:19:30.956Z [[32minfo[39m] 📱 Device Registration Received {""service"":""mqtt-publisher-lite"",""deviceId"":""DEVICE-13"",""type"":""device_registration""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""69394420-c732-4ebe-a5fd-54c2d5628ea7"",""replica"":""7fc15fda-5103-4647-b7c4-6251ceb0ef53""}",2026-07-23T06:19:32.630231714Z
"2026-07-23T06:19:31.085Z [[32minfo[39m] ✅ Existing device reconnected {""service"":""mqtt-publisher-lite"",""deviceId"":""DEVICE-13""}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""69394420-c732-4ebe-a5fd-54c2d5628ea7"",""replica"":""7fc15fda-5103-4647-b7c4-6251ceb0ef53""}",2026-07-23T06:19:32.630239344Z
"2026-07-23T06:19:31.085Z [[32minfo[39m] 📤 QoS 1 message sent {""service"":""mqtt-publisher-lite"",""messageId"":44623,""topic"":""proof.mqtt/DEVICE-13/registration_ack"",""qos"":1}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""69394420-c732-4ebe-a5fd-54c2d5628ea7"",""replica"":""7fc15fda-5103-4647-b7c4-6251ceb0ef53""}",2026-07-23T06:19:32.630245504Z
"2026-07-23T06:19:31.086Z [[32minfo[39m] ⏱️ Tracking QoS 1 message (30s timeout) {""service"":""mqtt-publisher-lite"",""deviceId"":""DEVICE-13"",""messageId"":44623,""topic"":""proof.mqtt/DEVICE-13/registration_ack"",""pendingCount"":1}",info,"{""level"":""info""}","{""project"":""90a47e04-a329-4122-9c82-2ee75a4562c2"",""environment"":""f6319bd4-2e87-40d4-8547-4ce714038bc1"",""service"":""c236b8cb-3eff-45c5-aca0-23e73e33dc8d"",""deployment"":""69394420-c732-4ebe-a5fd-54c2d5628ea7"",""replica"":""7fc15fda-5103-4647-b7c4-6251ceb0ef53""}",2026-07-23T06:19:32.630250274Z
